年,月,日,満1時,満1分,満1高,満2時,満2分,満2高,満3時,満3分,満3高,満4時,満4分,満4高,引1時,引1分,引1高,引2時,引2分,引2高,引3時,引3分,引3高,引4時,引4分,引4高
20, 1, 1,8,27,120,18,47,116,99,99,999,99,99,999,1,15,27,13,46,85,99,99,999,99,99,999
20, 1, 2,9,4,118,19,38,105,99,99,999,99,99,999,1,50,38,14,48,83,99,99,999,99,99,999
20, 1, 3,9,41,117,20,55,94,99,99,999,99,99,999,2,25,51,16,10,77,99,99,999,99,99,999
20, 1, 4,10,22,118,23,11,89,99,99,999,99,99,999,3,7,64,17,36,67,99,99,999,99,99,999
20, 1, 5,11,7,119,99,99,999,99,99,999,99,99,999,4,6,76,18,41,54,99,99,999,99,99,999
20, 1, 6,1,33,95,11,54,121,99,99,999,99,99,999,5,28,87,19,31,39,99,99,999,99,99,999
20, 1, 7,2,48,105,12,40,125,99,99,999,99,99,999,6,52,93,20,13,24,99,99,999,99,99,999
20, 1, 8,3,36,115,13,24,129,99,99,999,99,99,999,7,59,97,20,53,11,99,99,999,99,99,999
20, 1, 9,4,16,123,14,6,134,99,99,999,99,99,999,8,53,98,21,32,-1,99,99,999,99,99,999
20, 1,10,4,55,128,14,48,139,99,99,999,99,99,999,9,37,98,22,12,-10,99,99,999,99,99,999
20, 1,11,5,32,131,15,30,143,99,99,999,99,99,999,10,17,96,22,53,-14,99,99,999,99,99,999
20, 1,12,6,9,131,16,12,145,99,99,999,99,99,999,10,56,93,23,33,-13,99,99,999,99,99,999
20, 1,13,6,45,129,16,56,143,99,99,999,99,99,999,11,35,89,99,99,999,99,99,999,99,99,999
20, 1,14,7,18,127,17,43,137,99,99,999,99,99,999,0,13,-7,12,17,83,99,99,999,99,99,999
20, 1,15,7,50,125,18,33,127,99,99,999,99,99,999,0,52,5,13,4,77,99,99,999,99,99,999
20, 1,16,8,20,123,19,31,114,99,99,999,99,99,999,1,30,20,13,59,71,99,99,999,99,99,999
20, 1,17,8,50,123,20,47,100,99,99,999,99,99,999,2,8,39,15,7,64,99,99,999,99,99,999
20, 1,18,9,23,123,22,54,91,99,99,999,99,99,999,2,47,57,16,33,55,99,99,999,99,99,999
20, 1,19,10,3,124,99,99,999,99,99,999,99,99,999,3,33,75,18,0,43,99,99,999,99,99,999
20, 1,20,1,35,95,10,55,125,99,99,999,99,99,999,4,39,90,19,13,30,99,99,999,99,99,999
20, 1,21,3,7,105,11,59,126,99,99,999,99,99,999,6,16,99,20,10,18,99,99,999,99,99,999
20, 1,22,3,56,114,13,5,129,99,99,999,99,99,999,7,47,101,20,57,8,99,99,999,99,99,999
20, 1,23,4,32,120,14,2,133,99,99,999,99,99,999,8,51,98,21,38,1,99,99,999,99,99,999
20, 1,24,5,3,124,14,50,136,99,99,999,99,99,999,9,38,93,22,16,-2,99,99,999,99,99,999
20, 1,25,5,31,125,15,33,138,99,99,999,99,99,999,10,17,88,22,50,-2,99,99,999,99,99,999
20, 1,26,5,58,124,16,12,139,99,99,999,99,99,999,10,52,82,23,23,0,99,99,999,99,99,999
20, 1,27,6,23,123,16,49,136,99,99,999,99,99,999,11,25,77,23,53,6,99,99,999,99,99,999
20, 1,28,6,47,122,17,26,132,99,99,999,99,99,999,11,59,72,99,99,999,99,99,999,99,99,999
20, 1,29,7,9,121,18,3,125,99,99,999,99,99,999,0,21,14,12,34,68,99,99,999,99,99,999
20, 1,30,7,32,120,18,42,116,99,99,999,99,99,999,0,47,25,13,13,65,99,99,999,99,99,999
20, 1,31,7,55,119,19,27,105,99,99,999,99,99,999,1,13,37,13,57,63,99,99,999,99,99,999
20, 2, 1,8,19,118,20,25,95,99,99,999,99,99,999,1,37,49,14,53,60,99,99,999,99,99,999
20, 2, 2,8,46,117,22,2,86,99,99,999,99,99,999,2,1,62,16,5,56,99,99,999,99,99,999
20, 2, 3,9,20,115,99,99,999,99,99,999,99,99,999,2,26,76,17,30,48,99,99,999,99,99,999
20, 2, 4,10,9,114,99,99,999,99,99,999,99,99,999,18,44,36,99,99,999,99,99,999,99,99,999
20, 2, 5,3,17,100,11,24,115,99,99,999,99,99,999,5,34,98,19,44,22,99,99,999,99,99,999
20, 2, 6,3,46,110,12,43,119,99,99,999,99,99,999,7,42,100,20,34,8,99,99,999,99,99,999
