年,月,日,満1時,満1分,満1高,満2時,満2分,満2高,満3時,満3分,満3高,満4時,満4分,満4高,引1時,引1分,引1高,引2時,引2分,引2高,引3時,引3分,引3高,引4時,引4分,引4高
20, 1, 1,8,21,119,18,45,114,99,99,999,99,99,999,1,10,27,13,45,82,99,99,999,99,99,999
20, 1, 2,8,58,117,19,36,103,99,99,999,99,99,999,1,45,38,14,47,80,99,99,999,99,99,999
20, 1, 3,9,35,115,20,56,92,99,99,999,99,99,999,2,21,50,16,7,75,99,99,999,99,99,999
20, 1, 4,10,16,115,23,11,88,99,99,999,99,99,999,3,5,62,17,32,65,99,99,999,99,99,999
20, 1, 5,11,2,115,99,99,999,99,99,999,99,99,999,4,6,74,18,37,53,99,99,999,99,99,999
20, 1, 6,1,24,94,11,50,117,99,99,999,99,99,999,5,28,84,19,27,39,99,99,999,99,99,999
20, 1, 7,2,37,104,12,37,120,99,99,999,99,99,999,6,52,90,20,10,25,99,99,999,99,99,999
20, 1, 8,3,26,114,13,22,125,99,99,999,99,99,999,8,0,93,20,50,12,99,99,999,99,99,999
20, 1, 9,4,8,122,14,5,130,99,99,999,99,99,999,8,54,94,21,29,1,99,99,999,99,99,999
20, 1,10,4,47,127,14,47,135,99,99,999,99,99,999,9,39,94,22,9,-7,99,99,999,99,99,999
20, 1,11,5,25,130,15,29,139,99,99,999,99,99,999,10,19,92,22,49,-12,99,99,999,99,99,999
20, 1,12,6,3,130,16,12,140,99,99,999,99,99,999,10,58,89,23,29,-11,99,99,999,99,99,999
20, 1,13,6,39,129,16,55,138,99,99,999,99,99,999,11,38,85,99,99,999,99,99,999,99,99,999
20, 1,14,7,13,126,17,42,132,99,99,999,99,99,999,0,9,-5,12,20,80,99,99,999,99,99,999
20, 1,15,7,44,123,18,32,122,99,99,999,99,99,999,0,48,7,13,7,74,99,99,999,99,99,999
20, 1,16,8,14,122,19,30,109,99,99,999,99,99,999,1,26,22,14,1,68,99,99,999,99,99,999
20, 1,17,8,45,121,20,48,96,99,99,999,99,99,999,2,3,39,15,9,61,99,99,999,99,99,999
20, 1,18,9,17,121,22,56,89,99,99,999,99,99,999,2,42,57,16,33,53,99,99,999,99,99,999
20, 1,19,9,57,121,99,99,999,99,99,999,99,99,999,3,28,74,17,59,42,99,99,999,99,99,999
20, 1,20,1,34,93,10,49,122,99,99,999,99,99,999,4,36,88,19,11,30,99,99,999,99,99,999
20, 1,21,3,1,104,11,56,123,99,99,999,99,99,999,6,16,97,20,8,19,99,99,999,99,99,999
