年,月,日,満1時,満1分,満1高,満2時,満2分,満2高,満3時,満3分,満3高,満4時,満4分,満4高,引1時,引1分,引1高,引2時,引2分,引2高,引3時,引3分,引3高,引4時,引4分,引4高
20, 1, 1,9,2,164,19,52,153,99,99,999,99,99,999,2,9,40,14,44,101,99,99,999,99,99,999
20, 1, 2,9,42,159,20,49,139,99,99,999,99,99,999,2,43,54,15,44,101,99,99,999,99,99,999
20, 1, 3,10,25,156,22,12,127,99,99,999,99,99,999,3,22,70,17,12,96,99,99,999,99,99,999
20, 1, 4,11,14,154,99,99,999,99,99,999,99,99,999,4,18,86,18,41,84,99,99,999,99,99,999
20, 1, 5,0,6,123,12,9,154,99,99,999,99,99,999,5,47,99,19,41,67,99,99,999,99,99,999
20, 1, 6,2,9,132,13,6,157,99,99,999,99,99,999,7,16,106,20,26,48,99,99,999,99,99,999
20, 1, 7,3,20,146,13,59,163,99,99,999,99,99,999,8,22,108,21,6,30,99,99,999,99,99,999
20, 1, 8,4,5,161,14,45,171,99,99,999,99,99,999,9,15,108,21,45,13,99,99,999,99,99,999
20, 1, 9,4,44,174,15,27,179,99,99,999,99,99,999,10,1,106,22,25,-1,99,99,999,99,99,999
20, 1,10,5,21,183,16,7,187,99,99,999,99,99,999,10,43,104,23,6,-11,99,99,999,99,99,999
20, 1,11,5,58,189,16,46,192,99,99,999,99,99,999,11,25,101,23,47,-16,99,99,999,99,99,999
20, 1,12,6,35,190,17,26,194,99,99,999,99,99,999,12,5,97,99,99,999,99,99,999,99,99,999
20, 1,13,7,13,188,18,7,191,99,99,999,99,99,999,0,29,-15,12,45,93,99,99,999,99,99,999
20, 1,14,7,50,183,18,51,182,99,99,999,99,99,999,1,10,-7,13,26,89,99,99,999,99,99,999
20, 1,15,8,27,178,19,41,168,99,99,999,99,99,999,1,51,8,14,10,86,99,99,999,99,99,999
20, 1,16,9,3,172,20,42,152,99,99,999,99,99,999,2,32,28,15,1,82,99,99,999,99,99,999
