年,月,日,満1時,満1分,満1高,満2時,満2分,満2高,満3時,満3分,満3高,満4時,満4分,満4高,引1時,引1分,引1高,引2時,引2分,引2高,引3時,引3分,引3高,引4時,引4分,引4高
20, 1, 1,9,2,149,19,44,139,99,99,999,99,99,999,2,7,37,14,39,96,99,99,999,99,99,999
20, 1, 2,9,41,145,20,40,126,99,99,999,99,99,999,2,41,50,15,39,95,99,99,999,99,99,999
20, 1, 3,10,23,142,22,4,115,99,99,999,99,99,999,3,17,65,17,5,90,99,99,999,99,99,999
20, 1, 4,11,10,141,99,99,999,99,99,999,99,99,999,4,7,79,18,33,79,99,99,999,99,99,999
20, 1, 5,0,7,112,12,2,141,99,99,999,99,99,999,5,26,92,19,36,64,99,99,999,99,99,999
20, 1, 6,2,9,120,12,56,144,99,99,999,99,99,999,6,58,100,20,23,48,99,99,999,99,99,999
20, 1, 7,3,18,133,13,46,148,99,99,999,99,99,999,8,12,104,21,6,31,99,99,999,99,99,999
20, 1, 8,4,4,146,14,31,155,99,99,999,99,99,999,9,9,104,21,46,16,99,99,999,99,99,999
20, 1, 9,4,44,157,15,13,162,99,99,999,99,99,999,9,58,104,22,27,3,99,99,999,99,99,999
20, 1,10,5,22,165,15,54,168,99,99,999,99,99,999,10,42,102,23,8,-7,99,99,999,99,99,999
20, 1,11,6,0,169,16,35,173,99,99,999,99,99,999,11,23,99,23,50,-12,99,99,999,99,99,999
20, 1,12,6,38,170,17,16,175,99,99,999,99,99,999,12,3,96,99,99,999,99,99,999,99,99,999
20, 1,13,7,15,168,17,58,172,99,99,999,99,99,999,0,31,-10,12,43,93,99,99,999,99,99,999
20, 1,14,7,52,165,18,43,165,99,99,999,99,99,999,1,11,-3,13,24,89,99,99,999,99,99,999
20, 1,15,8,28,160,19,34,153,99,99,999,99,99,999,1,50,11,14,9,84,99,99,999,99,99,999
20, 1,16,9,3,155,20,35,138,99,99,999,99,99,999,2,29,29,15,1,80,99,99,999,99,99,999
20, 1,17,9,39,152,21,57,124,99,99,999,99,99,999,3,10,50,16,8,75,99,99,999,99,99,999
20, 1,18,10,17,149,23,57,116,99,99,999,99,99,999,3,55,72,17,34,67,99,99,999,99,99,999
20, 1,19,11,4,147,99,99,999,99,99,999,99,99,999,4,56,93,19,2,54,99,99,999,99,99,999
20, 1,20,2,17,122,12,4,146,99,99,999,99,99,999,6,25,107,20,11,40,99,99,999,99,99,999
20, 1,21,3,37,135,13,15,148,99,99,999,99,99,999,7,57,113,21,6,26,99,99,999,99,99,999
20, 1,22,4,24,147,14,20,152,99,99,999,99,99,999,9,10,112,21,54,15,99,99,999,99,99,999
20, 1,23,5,0,155,15,13,158,99,99,999,99,99,999,10,3,107,22,35,8,99,99,999,99,99,999
